i     ,X[i-1] ,X[i] ,a[i]         ,b[i]         ,c[i]         ,d[i]
 80.0 ,  2.58 ,2.6  ,3.5304019651 ,1.9068279147 ,0.8769121462 ,0.48388235
 81.0 ,  2.6  ,2.62 ,3.5687145564 ,1.9244637484 ,0.8866712229 ,0.48795383
 82.0 ,  2.62 ,2.64 ,3.6073818217 ,1.9422955899 ,0.8965129293 ,0.49208532
 83.0 ,  2.64 ,2.66 ,3.6464076978 ,1.9603251038 ,0.9064384658 ,0.49627682
 84.0 ,  2.66 ,2.68 ,3.685796155  ,1.9785539788 ,0.9164490303 ,0.50052823
 85.0 ,  2.68 ,2.7  ,3.7255511975 ,1.9969839274 ,0.9265458289 ,0.50483993
 86.0 ,  2.7  ,2.72 ,3.7656768641 ,2.0156166861 ,0.9367300408 ,0.50921059
 87.0 ,  2.72 ,2.74 ,3.8061772287 ,2.034454016  ,0.9470029497 ,0.51364545
 88.0 ,  2.74 ,2.76 ,3.8470564005 ,2.0534977001 ,0.9573654559 ,0.51812531
 89.0 ,  2.76 ,2.78 ,3.8883185245 ,2.0727495536 ,0.9678199005 ,0.52272223
 90.0 ,  2.78 ,2.8  ,3.9299677825 ,2.0922113852 ,0.9783632569 ,0.52716782
 91.0 ,  2.8  ,2.82 ,3.9720083928 ,2.1118851432 ,0.989012545  ,0.5324644
 92.0 ,  2.82 ,2.84 ,4.0144446113 ,2.1317723685 ,0.9997099846 ,0.53487198
 93.0 ,  2.84 ,2.86 ,4.0572807318 ,2.151876238  ,1.0106769696 ,0.54834925
 94.0 ,  2.86 ,2.88 ,4.1005210864 ,2.1721939379 ,1.0210930201 ,0.52080253
 95.0 ,  2.88 ,2.9  ,4.1441700459 ,2.1927451282 ,1.0340260024 ,0.64664911
 96.0 ,  2.9  ,2.92 ,4.1882320208 ,2.2134657112 ,1.0380322984 ,0.2003148
 97.0 ,  2.92 ,2.94 ,4.232711461  ,2.2346042933 ,1.0758259105 ,1.88968061
 98.0 ,  2.94 ,2.96 ,4.2776128571 ,2.2552425711 ,0.9880018743 ,-4.39120181
 99.0 ,  2.96 ,2.98 ,4.3229407404 ,2.2788173249 ,1.3694735053 ,19.07358155
100.0 ,  2.98 ,3.0  ,4.3686996833 ,2.29251206   ,0.0          ,-68.47367527
