j,x[j],F''[xj],S''[xj],F''[xj] - S''[xj]
134.0,0.34,3.9599999999999995,3.96000000000031,3.1041835768519377e-13
135.0,0.35,3.8999999999999995,3.899999999999883,1.163513729807164e-13
136.0,0.36,3.8399999999999994,3.839999999999456,5.435651928564766e-13
137.0,0.37,3.7799999999999994,3.7800000000001073,1.0791367799356522e-13
138.0,0.38,3.7199999999999993,3.7200000000007587,7.593925488436071e-13
139.0,0.39,3.6599999999999993,3.65999999999947,5.293543381412746e-13
140.0,0.4,3.599999999999999,3.5999999999981807,1.8185453143360064e-12
141.0,0.41,3.5400000000000005,3.539999999999827,1.7363888105137448e-13
142.0,0.42,3.4800000000000004,3.480000000001473,1.4725998198628076e-12
143.0,0.43,3.4200000000000004,3.4200000000003987,3.9834802123550617e-13
144.0,0.44,3.3600000000000003,3.3599999999993244,6.759037773917953e-13
145.0,0.45,3.3000000000000003,3.300000000000365,3.645972412869014e-13
146.0,0.46,3.24,3.240000000001405,1.404654170755748e-12
147.0,0.47,3.18,3.18000000000004,3.9968028886505635e-14
148.0,0.48,3.12,3.1199999999986754,1.3247181129827368e-12
149.0,0.49,3.06,3.0599999999998193,1.8074430840897548e-13
150.0,0.5,3.0,3.000000000000963,9.627854069549358e-13
151.0,0.51,2.94,2.939999999999893,1.0702549957386509e-13
152.0,0.52,2.88,2.8799999999988226,1.177280495312516e-12
153.0,0.53,2.82,2.8199999999999332,6.661338147750939e-14
154.0,0.54,2.76,2.7600000000010434,1.0436096431476471e-12
155.0,0.55,2.6999999999999997,2.7000000000006423,6.425970866530406e-13
156.0,0.56,2.6399999999999997,2.640000000000241,2.41140440948584e-13
157.0,0.57,2.5799999999999996,2.579999999999544,4.556355293061642e-13
158.0,0.58,2.5199999999999996,2.5199999999988467,1.1528555887707626e-12
159.0,0.59,2.4599999999999995,2.460000000000011,1.1546319456101628e-14
160.0,0.6,2.3999999999999995,2.4000000000011754,1.1759482276829658e-12
161.0,0.61,2.3399999999999994,2.340000000000185,1.8562928971732617e-13
162.0,0.62,2.2799999999999994,2.2799999999991942,8.051337374581635e-13
163.0,0.63,2.2199999999999993,2.219999999999967,3.241851231905457e-14
164.0,0.64,2.1599999999999993,2.1600000000007396,7.402967128200544e-13
165.0,0.65,2.099999999999999,2.0999999999991124,8.86846152070575e-13
166.0,0.66,2.039999999999999,2.039999999997485,2.5139890169612045e-12
167.0,0.67,1.9800000000000004,1.9799999999995308,4.696243394164412e-13
168.0,0.68,1.92,1.9200000000015762,1.5762946503627973e-12
169.0,0.69,1.8600000000000003,1.8600000000013226,1.3222756223285614e-12
170.0,0.7,1.8000000000000007,1.800000000001069,1.0682565942943256e-12
171.0,0.71,1.7400000000000002,1.7399999999996785,3.2174263253637037e-13
172.0,0.72,1.6799999999999997,1.6799999999982878,1.7119639039719914e-12
173.0,0.73,1.62,1.6200000000004127,4.1255887595070817e-13
174.0,0.74,1.5600000000000005,1.5600000000025374,2.5368596112684827e-12
175.0,0.75,1.5,1.500000000000065,6.505906924303417e-14
176.0,0.76,1.4399999999999995,1.4399999999975925,2.4069635173873394e-12
177.0,0.77,1.38,1.3800000000000014,1.5543122344752192e-15
178.0,0.78,1.3200000000000003,1.3200000000024101,2.4098500972513648e-12
179.0,0.79,1.2599999999999998,1.2599999999998832,1.1657341758564144e-13
180.0,0.8,1.1999999999999993,1.199999999997356,2.6432189770275727e-12
181.0,0.81,1.1399999999999997,1.1399999999996997,2.999822612537173e-13
182.0,0.82,1.08,1.0800000000020433,2.043254454520138e-12
183.0,0.83,1.0199999999999996,1.019999999999832,1.6764367671839864e-13
184.0,0.84,0.9599999999999991,0.9599999999976205,2.3785418079569354e-12
185.0,0.85,0.8999999999999995,0.9000000000004318,4.3232084578903596e-13
186.0,0.86,0.8399999999999999,0.8400000000032429,3.2430724772325448e-12
187.0,0.87,0.7799999999999994,0.7800000000005107,5.113687251423471e-13
188.0,0.88,0.7199999999999989,0.7199999999977785,2.2203350269478506e-12
189.0,0.89,0.6599999999999993,0.6599999999972093,2.7899904608830184e-12
190.0,0.9,0.5999999999999996,0.5999999999966399,3.3597569171206487e-12
191.0,0.91,0.5399999999999991,0.5400000000012883,1.2891909761947318e-12
192.0,0.92,0.4800000000000004,0.48000000000593945,5.939027047929812e-12
193.0,0.93,0.41999999999999993,0.42000000000253757,2.5376367673857203e-12
194.0,0.94,0.3600000000000003,0.35999999999913557,8.647527138805344e-13
195.0,0.95,0.3000000000000007,0.29999999999774163,2.2590818105072685e-12
196.0,0.96,0.2400000000000002,0.23999999999634763,3.652578239865534e-12
197.0,0.97,0.17999999999999972,0.1799999999999694,3.0309088572266774e-14
198.0,0.98,0.1200000000000001,0.1200000000035911,3.590988617574453e-12
199.0,0.99,0.0600000000000005,0.0600000000017956,1.7951057307286078e-12
200.0,1.0,0.0,0.0,0.0
