n,h,x,v_1,v_2,S,ОЛП,u,|u-v|
52,1.28,63.51,7.085461468577869e-06,3.456322880893847e-06,-2.4194257251226813e-07,3.87108116019629e-06,8.471614346485068e-42,7.085461468577869e-06
53,2.56,66.07,2.9442307600614583e-05,6.799600783880983e-07,-1.917489834815099e-06,3.0679837357041584e-05,1.8208550151269645e-43,2.9442307600614583e-05
54,2.56,68.63,0.0001223419929236019,2.8254467084214545e-06,-7.967769747678695e-06,0.00012748431596285912,3.913673180234652e-45,0.0001223419929236019
55,1.28,69.91,3.7899474487531864e-05,1.8487549671397863e-05,-1.2941283210756e-06,2.07060531372096e-05,5.737717357252276e-46,3.7899474487531864e-05
56,1.28,71.19,1.1740614421150066e-05,5.727129339356631e-06,-4.0089900545289564e-07,6.41438408724633e-06,8.411893113093357e-47,1.1740614421150066e-05
57,1.28,72.47,3.637043226851707e-06,1.7741675372190895e-06,-1.241917126421745e-07,1.987067402274792e-06,1.2332420950758288e-47,3.637043226851707e-06
58,2.56,75.03,1.5113051692763288e-05,3.490307877049757e-07,-9.842680603372208e-07,1.5748288965395532e-05,2.6506813953543252e-49,1.5113051692763288e-05
59,2.56,77.59,6.279945472791269e-05,1.4503320438996415e-06,-4.0899415122675364e-06,6.543906419628058e-05,5.697268920459236e-51,6.279945472791269e-05
60,1.28,78.87,1.9454205995955164e-05,9.489857169026134e-06,-6.642899217952687e-07,1.0628638748724298e-05,8.352592888681866e-52,1.9454205995955164e-05
61,1.28,80.15,6.0265830742132145e-06,2.939796802986709e-06,-2.0578575141510036e-07,3.292572022641606e-06,1.224548269321212e-52,6.0265830742132145e-06
62,2.56,82.71,2.504233682428823e-05,5.783442500855042e-07,-1.6309328382801818e-06,2.609492541248291e-05,2.631995232861022e-54,2.504233682428823e-05
63,2.56,85.27,0.00010405873874110236,2.4032011726516154e-06,-6.7770358378967165e-06,0.00010843257340634746,5.657105627729173e-56,0.00010405873874110236
64,1.28,86.55,3.223563242578446e-05,1.572469971467999e-05,-1.1007288474069649e-06,1.7611661558511438e-05,8.293710705318918e-57,3.223563242578446e-05
65,1.28,87.83,9.986052209182089e-06,4.871245280700701e-06,-3.4098712856542583e-07,5.455794057046813e-06,1.2159157312947507e-57,9.986052209182089e-06
66,1.28,89.11,3.093509610959143e-06,1.5090291716411166e-06,-1.0563202928786842e-07,1.6901124686058948e-06,1.7826171157162874e-58,3.093509610959143e-06
67,2.56,91.67,1.285449958838001e-05,2.968702951657291e-07,-8.371752862142854e-07,1.3394804579428566e-05,3.8314861636139775e-60,1.285449958838001e-05
68,2.56,94.23,5.341446462047027e-05,1.233588889942686e-06,-3.478725048701839e-06,5.565960077922942e-05,8.235243615994653e-62,5.341446462047027e-05
