n  ,h     ,x      ,v[1]_1                  ,v[2]_1                  ,v[1]_2                  ,v[2]_2                  ,ОЛП
31 ,0.32  ,9.59   ,-1.196053502105091      ,0.8000726552047982      ,-1.1961616781402677     ,0.7999534664462076      ,0.00017169031266005792
32 ,0.32  ,9.91   ,-0.9478216822167613     ,0.7487802129515486      ,-0.9479636166556094     ,0.748695494679143       ,0.00017631509768703906
33 ,0.32  ,10.23  ,-0.7182263518902341     ,0.6843906043779154      ,-0.718391760255094      ,0.6843366833825983      ,0.00018557364073850587
34 ,0.32  ,10.55  ,-0.5107246031681284     ,0.6113935857730447      ,-0.5109043475609918     ,0.6113665303205578      ,0.00019388715314069783
35 ,0.32  ,10.87  ,-0.32743218001992414    ,0.5336802030058946      ,-0.3276183364726016     ,0.5336759867217371      ,0.0001986178071119369
36 ,0.32  ,11.19  ,-0.16931631789912374    ,0.45453854570806534     ,-0.16950219525988816    ,0.45455318490064206     ,0.0001988831370566402
37 ,0.32  ,11.51  ,-0.036386739676139174   ,0.3766687985274         ,-0.03656685815837778    ,0.37669846358565345     ,0.000194714685073436
38 ,0.32  ,11.83  ,0.07212069214430397     ,0.30221342090126124     ,0.07195065486711412     ,0.30225452307085        ,0.00018659675331978955
39 ,0.32  ,12.15  ,0.15757188528114174     ,0.23279862392072254     ,0.15741517298635896     ,0.23284787927126138     ,0.0001752219826461979
40 ,0.32  ,12.47  ,0.22177704317741334     ,0.1695837026520831      ,0.22163591814579886     ,0.16963817541025866     ,0.00016135799148268872
41 ,0.32  ,12.79  ,0.2668498250930091      ,0.11331520268328929     ,0.26672567712503564     ,0.11337233033806075     ,0.00014577195956935746
42 ,0.32  ,13.11  ,0.2950842620018838      ,0.0643833319043681      ,0.29497772396975286     ,0.06444093460747695     ,0.0001291874859113322
43 ,0.32  ,13.43  ,0.30884978986832207     ,0.02287845708940916     ,0.3087608551548511      ,0.022934733894070868    ,0.00011226108998012729
44 ,0.32  ,13.75  ,0.31050413709248653     ,-0.011354062705340062   ,0.3104322750476239      ,-0.011300548285476043   ,9.557206323693985e-05
45 ,0.32  ,14.07  ,0.3023233062278008      ,-0.03866206712390893    ,0.3022675725297954      ,-0.038612409878344675   ,7.96228416523306e-05
46 ,0.32  ,14.39  ,0.2864475120968486      ,-0.05953881686596803    ,0.2864066516193044      ,-0.05949379878997825    ,6.484952437026599e-05
47 ,0.32  ,14.71  ,0.2648416679478338      ,-0.07457993738474747    ,0.2648142083919338      ,-0.07454006074592287    ,5.1644443596930275e-05
48 ,0.32  ,15.03  ,0.23926883594052628     ,-0.08444549662995979    ,0.23925317108378008     ,-0.0844110194540978     ,4.039363142477059e-05
49 ,0.64  ,15.67  ,0.1821829822582484      ,-0.091427849545909      ,0.18218603072218523     ,-0.0913986299736345     ,3.1336708562000577e-05
50 ,1.28  ,16.95  ,0.07366923166941856     ,-0.07300763480543171    ,0.07380535989621745     ,-0.07289891650741422    ,0.00018582840338499424
51 ,1.28  ,18.23  ,0.0013465540967000644   ,-0.03940632903314269    ,0.0017095230844344153   ,-0.03941334118010732    ,0.0003872391624080508
52 ,1.28  ,19.51  ,-0.030024480903007703   ,-0.011162680281259055   ,-0.029605825867285752   ,-0.011304435443157816   ,0.00047146976151055554
53 ,1.28  ,20.79  ,-0.032843890364232735   ,0.004837456735700088    ,-0.03254866880583427    ,0.004641210543420769    ,0.0003781304545670947
54 ,1.28  ,22.07  ,-0.022472249003087554   ,0.009967754213057255    ,-0.022370392169410752   ,0.009804393494578609    ,0.00020534798606356986
55 ,1.28  ,23.35  ,-0.01012092794090655    ,0.00864621304334123     ,-0.010177036909457433   ,0.0085604787983613      ,0.00010929340208235306
56 ,1.28  ,24.63  ,-0.0012772077436272768  ,0.00503421816700943     ,-0.0014078509698385402  ,0.005023852823675538    ,0.0001397906972220827
