n    ,h              ,x              ,v1[1]              ,v1[2]              ,v2[1]              ,v2[2]              ,S                      ,ОЛП                    ,u[1]               ,u[2]               ,E
81   ,2.44140625e-06 ,0.00019775391  ,7.537671565802721  ,12.462288883455871 ,7.53767522598709   ,12.462285223271495 ,3.660184376030884e-06  ,7.320368752061768e-06  ,7.538264927003661  ,12.461695522254194 ,0.0005933612016768564
82   ,2.44140625e-06 ,0.00020019531  ,7.54366817665242   ,12.456291784325902 ,7.543671827922555  ,12.456288133055759 ,3.6512701431234973e-06 ,7.302540286246995e-06  ,7.5442673994603755 ,12.455692561517202 ,0.0005992228087006168
83   ,2.44140625e-06 ,0.00020263672  ,7.549650182399862  ,12.450309290298204 ,7.549653824777473  ,12.450305647920585 ,3.642377619073045e-06  ,7.28475523814609e-06   ,7.5502552347222185 ,12.44970423797509  ,0.0006050523231131422
84   ,2.44140625e-06 ,0.00020507813  ,7.555617618615192  ,12.444341365802629 ,7.555621252121936  ,12.444337732295876 ,3.6335067523651787e-06 ,7.2670135047303575e-06 ,7.556228468480944  ,12.443730515936112 ,0.0006108498665167161
85   ,2.44140625e-06 ,0.00020751953  ,7.5615705207819275 ,12.43838797535566  ,7.56157414543941   ,12.438384350698168 ,3.62465749148555e-06   ,7.2493149829711e-06    ,7.5621871363412705 ,12.437771359795542 ,0.000616615560117495
86   ,2.44140625e-06 ,0.00020996094  ,7.567508924297166  ,12.432449083560199 ,7.56751254012694   ,12.43244546773042  ,3.61582977959074e-06   ,7.23165955918148e-06   ,7.568131273821102  ,12.431826734035482 ,0.0006223495247166255
87   ,2.44140625e-06 ,0.00021240234  ,7.5734328644717985 ,12.426524655105355 ,7.573436471495363  ,12.426521048081785 ,3.607023570495471e-06  ,7.214047140990942e-06  ,7.574060916351729  ,12.425896603224636 ,0.0006280518807191271
88   ,2.44140625e-06 ,0.00021484375  ,7.579342376530716  ,12.420614654766238 ,7.579345974769518  ,12.420611056527429 ,3.598238809132681e-06  ,7.196477618265362e-06  ,7.579976099278047  ,12.419980932018111 ,0.000633722748126786
89   ,2.44140625e-06 ,0.00021728516  ,7.585237495613024  ,12.414719047403747 ,7.585241085088457  ,12.414715457928303 ,3.5894754439880217e-06 ,7.178950887976043e-06  ,7.58587685785877   ,12.414079685157192 ,0.0006393622465541426
90   ,2.44140625e-06 ,0.00021972656  ,7.591118256772242  ,12.408837797964354 ,7.591121837505652  ,12.408834217230938 ,3.580733416441717e-06  ,7.161466832883434e-06  ,7.591763227266629  ,12.40819282746915  ,0.0006449704952036228
91   ,2.44140625e-06 ,0.00022216797  ,7.596984694976525  ,12.402970871479909 ,7.596988266989199  ,12.402967299467226 ,3.5720126820848463e-06 ,7.144025364169693e-06  ,7.597635242588596  ,12.402320323867016 ,0.0006505476128921828
92   ,2.44140625e-06 ,0.00022460938  ,7.602836845108859  ,12.397118233067424 ,7.60284040842204   ,12.397114669754236 ,3.5633131876267043e-06 ,7.126626375253409e-06  ,7.6034929388260775 ,12.396462139349373 ,0.0006560937180513093
93   ,2.44140625e-06 ,0.00022705078  ,7.6086747419672776 ,12.391279847928867 ,7.608678296602149  ,12.391276293293988 ,3.554634879776586e-06  ,7.109269759553172e-06  ,7.60933635089514   ,12.390618239000162 ,0.0006616089287057036
94   ,2.44140625e-06 ,0.00022949219  ,7.614498420265062  ,12.385455681350956 ,7.614501966242762  ,12.385452135373248 ,3.5459777087964994e-06 ,7.091955417592999e-06  ,7.615165513626706  ,12.38478858798846  ,0.0006670933624963737
95   ,2.44140625e-06 ,0.00023193359  ,7.620307914630954  ,12.37964569870495  ,7.620311451972565  ,12.37964216136333  ,3.537341619619383e-06  ,7.074683239238766e-06  ,7.620980461766765  ,12.37897315156828  ,0.0006725471366699765
96   ,2.44140625e-06 ,0.000234375    ,7.626103259609355  ,12.373849865446445 ,7.626106788335911  ,12.373846336719883 ,3.528726562507245e-06  ,7.05745312501449e-06   ,7.626781229976579  ,12.373171895078354 ,0.0006779703680912519
97   ,2.44140625e-06 ,0.00023681641  ,7.631884489660538  ,12.36806814711517  ,7.631888009793021  ,12.368064626982681 ,3.520132489498451e-06  ,7.040264978996902e-06  ,7.632567852832895  ,12.367384783941937 ,0.0006833631732341416
98   ,2.44140625e-06 ,0.00023925781  ,7.637651639160847  ,12.362300509334784 ,7.637655150720188  ,12.362296997775436 ,3.5115593473022955e-06 ,7.023118694604591e-06  ,7.638340364828145  ,12.361611783666596 ,0.0006887256681871179
99   ,2.44140625e-06 ,0.00024169922  ,7.643404742402905  ,12.35654691781266  ,7.643408245409981  ,12.356543414805575 ,3.5030070844044303e-06 ,7.006014168808861e-06  ,7.644098800370655  ,12.355852859844012 ,0.0006940579686478543
100  ,2.44140625e-06 ,0.00024414063  ,7.649143833595816  ,12.350807338339694 ,7.649147328071457  ,12.350803843864044 ,3.494475649290507e-06  ,6.988951298581014e-06  ,7.649843193784848  ,12.350107978149756 ,0.0006993601899374369
101  ,2.44140625e-06 ,0.00024658203  ,7.65486894686537   ,12.345081736790098 ,7.654872432830354  ,12.345078250825102 ,3.485964995775248e-06  ,6.971929991550496e-06  ,7.655573579311447  ,12.344377104343106 ,0.0007046324469914822
102  ,2.44140625e-06 ,0.00024902344  ,7.660580116254243  ,12.339370079121192 ,7.660583593729299  ,12.339366601646129 ,3.4774750634625207e-06 ,6.954950126925041e-06  ,7.661289991107685  ,12.338660204266828 ,0.0007098748543636901
103  ,2.44140625e-06 ,0.00025146484  ,7.6662773757222045 ,12.333672331373212 ,7.66628084472801   ,12.3336688623674   ,3.4690058114961175e-06 ,6.938011622992235e-06  ,7.666992463247503  ,12.33295724384698  ,0.0007150875262311729
104  ,2.44140625e-06 ,0.00025390625  ,7.671960759146315  ,12.327988459669093 ,7.671964219703493  ,12.327984999111909 ,3.4605571848089767e-06 ,6.921114369617953e-06  ,7.672681029721756  ,12.327268189092713 ,0.0007202705763802442
105  ,2.44140625e-06 ,0.00025634766  ,7.677630300321128  ,12.322318430214287 ,7.677633752450257  ,12.322314978085148 ,3.452129138992177e-06  ,6.904258277984354e-06  ,7.678355724438413  ,12.32159300609605  ,0.0007254241182366172
106  ,2.44140625e-06 ,0.00025878906  ,7.6832860329588915 ,12.31666220929654  ,7.683289476680495  ,12.316658765574925 ,3.443721615425943e-06  ,6.887443230851886e-06  ,7.684016581222766  ,12.315931661031707 ,0.0007305482648334305
107  ,2.44140625e-06 ,0.00026123047  ,7.688927990689749  ,12.311019763285712 ,7.688931426024307  ,12.311016327951144 ,3.435334567924997e-06  ,6.870669135849994e-06  ,7.689663633817618  ,12.310284120156874 ,0.0007356431288378928
108  ,2.44140625e-06 ,0.00026367188  ,7.694556207061941  ,12.305391058633562 ,7.694559634029878  ,12.305387631665617 ,3.42696794497499e-06   ,6.85393588994998e-06   ,7.6952969158835005 ,12.304650349811023 ,0.0007407088225388492
109  ,2.44140625e-06 ,0.00026611328  ,7.700170715542     ,12.299776061873555 ,7.700174134163692  ,12.299772643251854 ,3.418621700390645e-06  ,6.83724340078129e-06   ,7.700916460998861  ,12.299030316415703 ,0.0007457454578521094
110  ,2.44140625e-06 ,0.00026855469  ,7.705771549514953  ,12.294174739620665 ,7.705774959810728  ,12.294171329324882 ,3.410295782657613e-06  ,6.820591565315226e-06  ,7.706522302660274  ,12.293423986474348 ,0.0007507531463168959
111  ,2.44140625e-06 ,0.00027099609  ,7.71135874228452   ,12.288587058571176 ,7.711362144274655  ,12.28858365658103  ,3.4019901455906165e-06 ,6.803980291181233e-06  ,7.712114474282627  ,12.287831326572062 ,0.0007557319991136069
112  ,2.44140625e-06 ,0.0002734375   ,7.71693232707331   ,12.283012985502475 ,7.716935720778032  ,12.283009591797743 ,3.3937047323462366e-06 ,6.787409464692473e-06  ,7.7176930091993325 ,12.282252303375433 ,0.0007606821270425002
113  ,2.44140625e-06 ,0.00027587891  ,7.722492337023019  ,12.277452487272866 ,7.72249572246251   ,12.27744910183337  ,3.3854394967391954e-06 ,6.770878993478391e-06  ,7.723257940662526  ,12.276686883632335 ,0.0007656036405307987
