n    ,h    ,x_1  ,v_1                    ,v_2                    ,S                       ,olp
427  ,0.01 ,4.27 ,0.003306540452449887   ,0.0033065404439647683  ,-5.656745905024963e-13  ,-9.05079344803994e-12
428  ,0.01 ,4.28 ,0.0032573124785097688  ,0.0032573124701314013  ,-5.585578296181856e-13  ,-8.936925273890969e-12
429  ,0.01 ,4.29 ,0.0032088174136185787  ,0.003208817405345665   ,-5.515275736112102e-13  ,-8.824441177779363e-12
430  ,0.01 ,4.3  ,0.0031610443461821363  ,0.0031610443380133933  ,-5.445828683836585e-13  ,-8.713325894138536e-12
431  ,0.01 ,4.31 ,0.003113982527058733   ,0.0031139825189928924  ,-5.377227020135026e-13  ,-8.603563232216042e-12
432  ,0.01 ,4.32 ,0.0030676213671405315  ,0.00306762135917634    ,-5.30946091490773e-13   ,-8.495137463852368e-12
433  ,0.01 ,4.33 ,0.003021950434970972   ,0.0030219504271071906  ,-5.242520827175579e-13  ,-8.388033323480926e-12
434  ,0.01 ,4.34 ,0.0029769594543976484  ,0.002976959446633053   ,-5.176396926838874e-13  ,-8.282235082942199e-12
435  ,0.01 ,4.35 ,0.002932638302260134   ,0.002932638294593514   ,-5.111079962039078e-13  ,-8.177727939262525e-12
436  ,0.01 ,4.36 ,0.0028889770061122253  ,0.0028889769985423843  ,-5.046560680917652e-13  ,-8.074497089468243e-12
437  ,0.01 ,4.37 ,0.0028459657419780994  ,0.0028459657345038555  ,-4.982829253374898e-13  ,-7.972526805399837e-12
438  ,0.01 ,4.38 ,0.0028035948321418797  ,0.0028035948247620637  ,-4.919877294914017e-13  ,-7.871803671862427e-12
439  ,0.01 ,4.39 ,0.002761854742970107   ,0.002761854735683564   ,-4.857695264555891e-13  ,-7.772312423289425e-12
440  ,0.01 ,4.4  ,0.002720736082766634   ,0.0027207360755722226  ,-4.79627419956256e-13   ,-7.674038719300096e-12
441  ,0.01 ,4.41 ,0.0026802295996594516  ,0.002680229592556044   ,-4.735605137196064e-13  ,-7.576968219513702e-12
442  ,0.01 ,4.42 ,0.002640326179518981   ,0.0026403261725054614  ,-4.675679692959603e-13  ,-7.481087508735365e-12
443  ,0.01 ,4.43 ,0.002601016843907354   ,0.002601016836982621   ,-4.616488614994641e-13  ,-7.386381783991425e-12
444  ,0.01 ,4.44 ,0.0025622927480582285  ,0.002562292741221193   ,-4.558023807924953e-13  ,-7.292838092679925e-12
445  ,0.01 ,4.45 ,0.002524145178886677   ,0.002524145172136262   ,-4.5002765981331607e-13 ,-7.200442557013057e-12
446  ,0.01 ,4.46 ,0.002486565553028707   ,0.002486565546363849   ,-4.443238601122464e-13  ,-7.1091817617959425e-12
447  ,0.01 ,4.47 ,0.002449545414909968   ,0.002449545408329616   ,-4.386901432396062e-13  ,-7.019042291833699e-12
448  ,0.01 ,4.48 ,0.0024130764348432097  ,0.0024130764283463242  ,-4.3312569965777334e-13 ,-6.9300111945243735e-12
449  ,0.01 ,4.49 ,0.0023771504071540698  ,0.0023771504007396244  ,-4.2762969091706775e-13 ,-6.842075054673084e-12
450  ,0.01 ,4.5  ,0.0023417592483347613  ,0.002341759242001741   ,-4.222013653039832e-13  ,-6.755221844863731e-12
451  ,0.01 ,4.51 ,0.002306894995225249   ,0.0023068949889726506  ,-4.168398843688396e-13  ,-6.669438149901434e-12
452  ,0.01 ,4.52 ,0.002272549803221505   ,0.002272549797048338   ,-4.115444674860728e-13  ,-6.584711479777165e-12
453  ,0.01 ,4.53 ,0.0022387159445104404  ,0.002238715938415726   ,-4.0631430511806066e-13 ,-6.5010288818889705e-12
454  ,0.01 ,4.54 ,0.0022053858063311137  ,0.002205385800313884   ,-4.0114864555129694e-13 ,-6.418378328820751e-12
455  ,0.01 ,4.55 ,0.0021725518892618287  ,0.0021725518833211276  ,-3.960467370722753e-13  ,-6.336747793156405e-12
456  ,0.01 ,4.56 ,0.002140206805532732   ,0.0021402067996676146  ,-3.910078279674896e-13  ,-6.256125247479834e-12
457  ,0.01 ,4.57 ,0.002108343277363534   ,0.002108343271573066   ,-3.860311954354915e-13  ,-6.176499126967864e-12
458  ,0.01 ,4.58 ,0.0020769541353259776  ,0.0020769541296092363  ,-3.811160877627747e-13  ,-6.097857404204395e-12
459  ,0.01 ,4.59 ,0.002046032316730686   ,0.00204603231108676    ,-3.762617532358329e-13  ,-6.020188051773327e-12
460  ,0.01 ,4.6  ,0.0020155708640380294  ,0.002015570858466017   ,-3.714674979652758e-13  ,-5.943479967444413e-12
461  ,0.01 ,4.61 ,0.001985562923292647   ,0.0019855629177916584  ,-3.667325702375971e-13  ,-5.867721123801554e-12
462  ,0.01 ,4.62 ,0.00195600174258128    ,0.0019560017371504355  ,-3.620563050754644e-13  ,-5.79290088120743e-12
463  ,0.01 ,4.63 ,0.0019268806705135622  ,0.0019268806651519923  ,-3.5743799413345824e-13 ,-5.719007906135332e-12
464  ,0.01 ,4.64 ,0.0018981931547254283  ,0.0018981931494322741  ,-3.528769435221883e-13  ,-5.646031096355013e-12
465  ,0.01 ,4.65 ,0.001869932740404805   ,0.001869932735179218   ,-3.4837247380829307e-13 ,-5.573959580932689e-12
466  ,0.01 ,4.66 ,0.0018420930688392515  ,0.0018420930636803927  ,-3.4392392001444023e-13 ,-5.502782720231044e-12
467  ,0.01 ,4.67 ,0.001814667875985221   ,0.001814667870892262   ,-3.395306027072683e-13  ,-5.432489643316293e-12
468  ,0.01 ,4.68 ,0.0017876509910586258  ,0.0017876509860307477  ,-3.3519187136547374e-13 ,-5.36306994184758e-12
469  ,0.01 ,4.69 ,0.0017610363351463843  ,0.0017610363301827784  ,-3.309070610117241e-13  ,-5.294512976187585e-12
470  ,0.01 ,4.7  ,0.00173481791983864    ,0.0017348179149385067  ,-3.266755500367739e-13  ,-5.226808800588382e-12
471  ,0.01 ,4.71 ,0.0017089898458813439  ,0.0017089898410438936  ,-3.2249668791931953e-13 ,-5.1599470067091124e-12
472  ,0.01 ,4.72 ,0.0016835463018488976  ,0.0016835462970733496  ,-3.1836986750614453e-13 ,-5.0939178800983125e-12
473  ,0.01 ,4.73 ,0.0016584815628365578  ,0.0016584815581221414  ,-3.1429442381991634e-13 ,-5.028710781118661e-12
474  ,0.01 ,4.74 ,0.001633789989172309   ,0.0016337899845182623  ,-3.1026977861947637e-13 ,-4.964316457911622e-12
475  ,0.01 ,4.75 ,0.0016094660251479132  ,0.0016094660205534838  ,-3.0629529583955004e-13 ,-4.900724733432801e-12
476  ,0.01 ,4.76 ,0.0015855041977688518  ,0.0015855041932332963  ,-3.0237036832692076e-13 ,-4.837925893230732e-12
477  ,0.01 ,4.77 ,0.0015618991155228797  ,0.001561899111045463   ,-2.9849444675248787e-13 ,-4.775911148039806e-12
478  ,0.01 ,4.78 ,0.0015386454671669112  ,0.0015386454627469078  ,-2.9466689505097675e-13 ,-4.714670320815628e-12
479  ,0.01 ,4.79 ,0.001515738020531969   ,0.0015157380161686617  ,-2.908871494372578e-13  ,-4.6541943909961246e-12
480  ,0.01 ,4.8  ,0.0014931716213459226  ,0.0014931716170386029  ,-2.8715464612620126e-13 ,-4.59447433801922e-12
481  ,0.01 ,4.81 ,0.001470941192073757   ,0.0014709411878217249  ,-2.834688068766485e-13  ,-4.535500910026376e-12
482  ,0.01 ,4.82 ,0.001449041730775105   ,0.001449041726577669   ,-2.7982906790346985e-13 ,-4.477265086455518e-12
483  ,0.01 ,4.83 ,0.0014274683099787895  ,0.0014274683058352665  ,-2.7623486542153554e-13 ,-4.419757846744569e-12
484  ,0.01 ,4.84 ,0.001406216075574122   ,0.001406216071483837   ,-2.7268566455777393e-13 ,-4.362970632924383e-12
485  ,0.01 ,4.85 ,0.0013852802457187067  ,0.001385280241680993   ,-2.691809159830842e-13  ,-4.306894655729347e-12
486  ,0.01 ,4.86 ,0.0013646561097625067  ,0.0013646561057767054  ,-2.657200848243946e-13  ,-4.2515213571903135e-12
487  ,0.01 ,4.87 ,0.0013443390271879272  ,0.0013443390232533877  ,-2.6230263620863335e-13 ,-4.1968421793381335e-12
488  ,0.01 ,4.88 ,0.0013243244265656793  ,0.0013243244226817585  ,-2.5892804971875776e-13 ,-4.142848795500124e-12
489  ,0.01 ,4.89 ,0.0013046078045261895  ,0.0013046078006922525  ,-2.5559580493772496e-13 ,-4.089532879003599e-12
490  ,0.01 ,4.9  ,0.0012851847247463228  ,0.0012851847209617421  ,-2.523053814484921e-13  ,-4.036886103175874e-12
491  ,0.01 ,4.91 ,0.0012660508169511908  ,0.0012660508132153465  ,-2.4905628774607445e-13 ,-3.984900603937191e-12
492  ,0.01 ,4.92 ,0.0012472017759308214  ,0.0012472017722431014  ,-2.4584800341342917e-13 ,-3.933568054614867e-12
493  ,0.01 ,4.93 ,0.0012286333605714685  ,0.0012286333569312678  ,-2.426800514016003e-13  ,-3.882880822425605e-12
494  ,0.01 ,4.94 ,0.001210341392901344   ,0.001210341389308065   ,-2.3955194020560306e-13 ,-3.832831043289649e-12
495  ,0.01 ,4.95 ,0.0011923217571505557  ,0.001192321753603608   ,-2.3646317832045257e-13 ,-3.783410853127241e-12
496  ,0.01 ,4.96 ,0.001174570398825042   ,0.0011745703953238427  ,-2.334132886971929e-13  ,-3.734612619155087e-12
497  ,0.01 ,4.97 ,0.0011570833237942943  ,0.0011570833203382674  ,-2.304017942868682e-13  ,-3.6864287085898915e-12
498  ,0.01 ,4.98 ,0.0011398565973926597  ,0.001139856593981236   ,-2.274282469525805e-13  ,-3.638851951241288e-12
499  ,0.01 ,4.99 ,0.0011228863435340255  ,0.0011228863401666431  ,-2.2449215518934493e-13 ,-3.591874483029519e-12
500  ,0.01 ,5.0  ,0.0011061687438396828  ,0.0011061687405157865  ,-2.2159308531629247e-13 ,-3.5454893650606795e-12
501  ,0.01 ,5.01 ,0.0010897000367791757  ,0.001089700033498217   ,-2.1873057474049624e-13 ,-3.49968919584794e-12
502  ,0.01 ,5.02 ,0.0010734765168239411  ,0.0010734765135853783  ,-2.1590418978108725e-13 ,-3.454467036497396e-12
503  ,0.01 ,5.03 ,0.0010574945336135485  ,0.0010574945304168463  ,-2.1311348230116748e-13 ,-3.4098157168186797e-12
504  ,0.01 ,5.04 ,0.0010417504911343542  ,0.001041750487978984   ,-2.1035801861986798e-13 ,-3.3657282979178877e-12
505  ,0.01 ,5.05 ,0.0010262408469103826  ,0.0010262408437958224  ,-2.076373506002908e-13  ,-3.322197609604653e-12
506  ,0.01 ,5.06 ,0.0010109621112062547  ,0.0010109621081319884  ,-2.049510879296538e-13  ,-3.279217406874461e-12
507  ,0.01 ,5.07 ,0.0009959108462419823  ,0.0009959108432075006  ,-2.0229878247105907e-13 ,-3.236780519536945e-12
508  ,0.01 ,5.08 ,0.0009810836654194533  ,0.0009810836624242528  ,-1.9968002945569551e-13 ,-3.1948804712911282e-12
509  ,0.01 ,5.09 ,0.0009664772325604327  ,0.0009664772296040167  ,-1.9709440243070864e-13 ,-3.153510438891338e-12
510  ,0.01 ,5.1  ,0.0009520882611559089  ,0.0009520882582377863  ,-1.9454150385530186e-13 ,-3.1126640616848298e-12
511  ,0.01 ,5.11 ,0.0009379135136266145  ,0.0009379135107463006  ,-1.920209289606641e-13  ,-3.0723348633706254e-12
512  ,0.01 ,5.12 ,0.0009239498005945582  ,0.0009239497977515739  ,-1.895322874340133e-13  ,-3.0325165989442127e-12
513  ,0.01 ,5.13 ,0.0009101939801654005  ,0.0009101939773592726  ,-1.8707518896256732e-13 ,-2.993203023401077e-12
514  ,0.01 ,5.14 ,0.0008966429572215146  ,0.000896642954451776   ,-1.8464924323354412e-13 ,-2.954387891736706e-12
515  ,0.01 ,5.15 ,0.0008832936827255721  ,0.0008832936799917611  ,-1.8225406716217603e-13 ,-2.9160650745948165e-12
516  ,0.01 ,5.16 ,0.0008701431530344962  ,0.000870143150336157   ,-1.798892776636955e-13  ,-2.878228442619128e-12
517  ,0.01 ,5.17 ,0.0008571884092236297  ,0.0008571884065603122  ,-1.775545061093638e-13  ,-2.840872097749821e-12
518  ,0.01 ,5.18 ,0.0008444265364209646  ,0.0008444265337922239  ,-1.7524938387044238e-13 ,-2.803990141927078e-12
519  ,0.01 ,5.19 ,0.0008318546631512829  ,0.0008318546605566799  ,-1.7297353509017806e-13 ,-2.767576561442849e-12
520  ,0.01 ,5.2  ,0.0008194699606900636  ,0.0008194699581291644  ,-1.7072661282387565e-13 ,-2.7316258051820104e-12
521  ,0.01 ,5.21 ,0.0008072696424270069  ,0.0008072696398993829  ,-1.6850826289882547e-13 ,-2.6961322063812075e-12
522  ,0.01 ,5.22 ,0.0007952509632390354  ,0.0007952509607442635  ,-1.6631812391430338e-13 ,-2.661089982628854e-12
523  ,0.01 ,5.23 ,0.0007834112188726299  ,0.0007834112164102923  ,-1.6415584169759966e-13 ,-2.6264934671615945e-12
524  ,0.01 ,5.24 ,0.0007717477453353611  ,0.0007717477429050448  ,-1.6202108376004813e-13 ,-2.59233734016077e-12
525  ,0.01 ,5.25 ,0.0007602579182964795  ,0.0007602579158977771  ,-1.5991349592893908e-13 ,-2.5586159348630253e-12
526  ,0.01 ,5.26 ,0.0007489391524964306  ,0.0007489391501289393  ,-1.5783275294362075e-13 ,-2.525324047097932e-12
527  ,0.01 ,5.27 ,0.0007377889011651603  ,0.0007377888988284824  ,-1.5577852231542695e-13 ,-2.492456357046831e-12
528  ,0.01 ,5.28 ,0.0007268046554490805  ,0.0007268046531428233  ,-1.5375047878370592e-13 ,-2.4600076605392948e-12
529  ,0.01 ,5.29 ,0.0007159839438465672  ,0.0007159839415703428  ,-1.517482970878059e-13  ,-2.4279727534048945e-12
530  ,0.01 ,5.3  ,0.0007053243316518617  ,0.0007053243294052869  ,-1.4977165196707517e-13 ,-2.3963464314732028e-12
531  ,0.01 ,5.31 ,0.0006948234204072516  ,0.0006948234181899482  ,-1.4782022538887644e-13 ,-2.365123606222023e-12
532  ,0.01 ,5.32 ,0.0006844788473634078  ,0.0006844788451750021  ,-1.4589371377660143e-13 ,-2.334299420425623e-12
533  ,0.01 ,5.33 ,0.000674288284947756   ,0.000674288282787879   ,-1.4399179909761288e-13 ,-2.303868785561806e-12
534  ,0.01 ,5.34 ,0.0006642494402407629  ,0.0006642494381090503  ,-1.42114170547288e-13   ,-2.273826728756608e-12
535  ,0.01 ,5.35 ,0.0006543600544600196  ,0.0006543600523561115  ,-1.4026053900504746e-13 ,-2.2441686240807593e-12
536  ,0.01 ,5.36 ,0.0006446179024520061  ,0.0006446179003755471  ,-1.3843060089428298e-13 ,-2.2148896143085277e-12
537  ,0.01 ,5.37 ,0.0006350207921914226  ,0.0006350207901420617  ,-1.3662405986640074e-13 ,-2.185984957862412e-12
538  ,0.01 ,5.38 ,0.0006255665642879742  ,0.0006255665622653648  ,-1.3484062680082138e-13 ,-2.157450028813142e-12
539  ,0.01 ,5.39 ,0.0006162530915004991  ,0.0006162530895042989  ,-1.3308001257696562e-13 ,-2.12928020123145e-12
540  ,0.01 ,5.4  ,0.0006070782782583304  ,0.0006070782762882012  ,-1.313419425302831e-13  ,-2.1014710804845295e-12
541  ,0.01 ,5.41 ,0.0005980400601897837  ,0.0005980400582453919  ,-1.2962612031217994e-13 ,-2.074017924994879e-12
542  ,0.01 ,5.42 ,0.0005891364036576652  ,0.000589136401738681   ,-1.2793227848612032e-13 ,-2.046916455777925e-12
543  ,0.01 ,5.43 ,0.0005803653053016943  ,0.0005803653034077922  ,-1.2626014238755385e-13 ,-2.0201622782008617e-12
544  ,0.01 ,5.44 ,0.0005717247915877392  ,0.0005717247897185976  ,-1.246094373519302e-13  ,-1.993750997630883e-12
545  ,0.01 ,5.45 ,0.0005632129183637634  ,0.000563212916519065   ,-1.2297989594271344e-13 ,-1.967678335083415e-12
546  ,0.01 ,5.46 ,0.0005548277704223836  ,0.0005548277686018147  ,-1.2137125795138222e-13 ,-1.9419401272221155e-12
547  ,0.01 ,5.47 ,0.0005465674610699394  ,0.0005465674592731904  ,-1.1978326316941513e-13 ,-1.916532210710642e-12
548  ,0.01 ,5.48 ,0.0005384301317019795  ,0.0005384301299287449  ,-1.1821564416027627e-13 ,-1.8914503065644203e-12
549  ,0.01 ,5.49 ,0.0005304139513850683  ,0.000530413949635046   ,-1.1666814794345874e-13 ,-1.86669036709534e-12
550  ,0.01 ,5.5  ,0.0005225171164448173  ,0.0005225171147177094  ,-1.151405287664701e-13  ,-1.842248460263522e-12
551  ,0.01 ,5.51 ,0.0005147378500600517  ,0.0005147378483555636  ,-1.1363254087681795e-13 ,-1.8181206540290872e-12
552  ,0.01 ,5.52 ,0.0005070744018630172  ,0.0005070744001808581  ,-1.1214393852200985e-13 ,-1.7943030163521576e-12
553  ,0.01 ,5.53 ,0.0004995250475455405  ,0.0004995250458854235  ,-1.1067446872153886e-13 ,-1.7707914995446218e-12
554  ,0.01 ,5.54 ,0.0004920880884710528  ,0.0004920880868326944  ,-1.0922389295092705e-13 ,-1.7475822872148327e-12
555  ,0.01 ,5.55 ,0.0004847618512923885  ,0.0004847618496755087  ,-1.0779198714172544e-13 ,-1.724671794267607e-12
556  ,0.01 ,5.56 ,0.0004775446875752763  ,0.00047754468597959875 ,-1.0637850192743437e-13 ,-1.7020560308389499e-12
557  ,0.01 ,5.57 ,0.00047043497342743343 ,0.00047043497185268523 ,-1.0498321323960483e-13 ,-1.6797314118336773e-12
558  ,0.01 ,5.58 ,0.0004634311091331837  ,0.0004634311075790954  ,-1.0360588616776615e-13 ,-1.6576941786842584e-12
559  ,0.01 ,5.59 ,0.00045653151879351453 ,0.00045653151725982    ,-1.0224630387148381e-13 ,-1.635940861943741e-12
560  ,0.01 ,5.6  ,0.00044973464997149294 ,0.0004497346484579293  ,-1.0090424228230884e-13 ,-1.6144678765169415e-12
561  ,0.01 ,5.61 ,0.00044303897334296074 ,0.0004430389718492686  ,-9.957947733179225e-14  ,-1.593271637308676e-12
562  ,0.01 ,5.62 ,0.00043644298235243024 ,0.0004364429808783533  ,-9.82717957935068e-14   ,-1.5723487326961087e-12
563  ,0.01 ,5.63 ,0.0004299451928741028  ,0.0004299451914193881  ,-9.698098082701796e-14  ,-1.5516956932322874e-12
564  ,0.01 ,5.64 ,0.00042354414287793424 ,0.000423544141442332   ,-9.570681559189128e-14  ,-1.5313090494702604e-12
565  ,0.01 ,5.65 ,0.00041723839210067203 ,0.0004172383906839357  ,-9.444909047570671e-14  ,-1.5111854476113073e-12
566  ,0.01 ,5.66 ,0.00041102652172178995 ,0.0004110265203236759  ,-9.320760309405874e-14  ,-1.4913216495049398e-12
567  ,0.01 ,5.67 ,0.0004049071340442474  ,0.00040490713266451515 ,-9.198215106254181e-14  ,-1.471714417000669e-12
568  ,0.01 ,5.68 ,0.0003988788521800018  ,0.00039887885081841385 ,-9.07725283827432e-14   ,-1.4523604541238911e-12
569  ,0.01 ,5.69 ,0.00039294031974020273 ,0.00039294031839652474 ,-8.957853267025732e-14  ,-1.433256522724117e-12
570  ,0.01 ,5.7  ,0.0003870902005299991  ,0.0003870901992039996  ,-8.839996876869317e-14  ,-1.4143995002990906e-12
571  ,0.01 ,5.71 ,0.00038132717824788937 ,0.0003813271769393397  ,-8.72366451356669e-14   ,-1.3957863221706705e-12
572  ,0.01 ,5.72 ,0.00037564995618954815 ,0.0003756499548982227  ,-8.608836300078027e-14  ,-1.3774138080124843e-12
573  ,0.01 ,5.73 ,0.0003700572569560625  ,0.00037005725568173845 ,-8.495493804966392e-14  ,-1.3592790087946227e-12
574  ,0.01 ,5.74 ,0.00036454782216651163 ,0.0003645478209089689  ,-8.383618235394131e-14  ,-1.341378917663061e-12
575  ,0.01 ,5.75 ,0.0003591204121748258  ,0.0003591204109338472  ,-8.27319043712286e-14   ,-1.3237104699396577e-12
576  ,0.01 ,5.76 ,0.00035377380579086084 ,0.00035377380456623193 ,-8.1641927015171e-14    ,-1.306270832242736e-12
577  ,0.01 ,5.77 ,0.0003485068000056253  ,0.0003485067987971343  ,-8.056606597139915e-14  ,-1.2890570555423864e-12
578  ,0.01 ,5.78 ,0.00034331820972059805 ,0.0003433182085280359  ,-7.950414415355823e-14  ,-1.2720663064569316e-12
579  ,0.01 ,5.79 ,0.0003382068674810765  ,0.00033820686630423675 ,-7.845598447529337e-14  ,-1.255295751604694e-12
580  ,0.01 ,5.8  ,0.00033317162321349416 ,0.000333171622052173   ,-7.742140985024978e-14  ,-1.2387425576039964e-12
581  ,0.01 ,5.81 ,0.0003282113439666491  ,0.00032821134282064526 ,-7.64002540340943e-14   ,-1.2224040645455088e-12
582  ,0.01 ,5.82 ,0.0003233249136567854  ,0.00032332491252590027 ,-7.539234355447936e-14  ,-1.2062774968716697e-12
583  ,0.01 ,5.83 ,0.0003185112328164696  ,0.0003185112317005069  ,-7.439751216707184e-14  ,-1.1903601946731494e-12
584  ,0.01 ,5.84 ,0.0003137692183472056  ,0.00031376921724597174 ,-7.341559001353138e-14  ,-1.174649440216502e-12
585  ,0.01 ,5.85 ,0.0003090978032757332  ,0.00030909780218903697 ,-7.244641446353209e-14  ,-1.1591426314165135e-12
586  ,0.01 ,5.86 ,0.00030449593651395455 ,0.0003044959354416072  ,-7.148982288674813e-14  ,-1.14383716618797e-12
587  ,0.01 ,5.87 ,0.00029996258262243486 ,0.00029996258156425    ,-7.054565626686086e-14  ,-1.1287305002697738e-12
588  ,0.01 ,5.88 ,0.0002954967215774242  ,0.00029549672053321785 ,-6.961375558755163e-14  ,-1.1138200894008262e-12
589  ,0.01 ,5.89 ,0.0002910973485413478  ,0.00029109734751093825 ,-6.869396906051632e-14  ,-1.099103504968261e-12
590  ,0.01 ,5.9  ,0.0002867634736367134  ,0.0002867634726199212  ,-6.778614489745076e-14  ,-1.0845783183592121e-12
591  ,0.01 ,5.91 ,0.0002824941217233846  ,0.00028249412072003276 ,-6.689012408203632e-14  ,-1.070241985312581e-12
592  ,0.01 ,5.92 ,0.0002782883321791703  ,0.000278288331189084   ,-6.600575482596885e-14  ,-1.0560920772155017e-12
593  ,0.01 ,5.93 ,0.0002741451586836805  ,0.0002741451577066871  ,-6.513289256895871e-14  ,-1.0421262811033394e-12
594  ,0.01 ,5.94 ,0.0002700636690054004  ,0.0002700636680413295  ,-6.427139275071621e-14  ,-1.0283422840114594e-12
595  ,0.01 ,5.95 ,0.0002660429447919343  ,0.0002660429438406176  ,-6.34211108109517e-14   ,-1.0147377729752272e-12
596  ,0.01 ,5.96 ,0.0002620820813633722  ,0.0002620820804246438  ,-6.258189496136102e-14  ,-1.0013103193817762e-12
597  ,0.01 ,5.97 ,0.00025818018750873364 ,0.0002581801865824294  ,-6.175361509768347e-14  ,-9.880578415629356e-13
598  ,0.01 ,5.98 ,0.00025433638528544073 ,0.0002543363843713989  ,-6.093612304562216e-14  ,-9.749779687299546e-13
599  ,0.01 ,5.99 ,0.0002505498098217778  ,0.00025054980891983853 ,-6.012928508690915e-14  ,-9.620685613905464e-13
600  ,0.01 ,6.0  ,0.00024681960912229157 ,0.0002468196082322971  ,-5.933296388926923e-14  ,-9.493274222283077e-13
601  ,0.01 ,6.01 ,0.00024314494387608844 ,0.00024314494299788303 ,-5.854702754143811e-14  ,-9.367524406630098e-13
602  ,0.01 ,6.02 ,0.0002395249872679861  ,0.00023952498640141597 ,-5.777134232514784e-14  ,-9.243414772023655e-13
603  ,0.01 ,6.03 ,0.00023595892479247665 ,0.00023595892393739    ,-5.700577632913409e-14  ,-9.120924212661455e-13
604  ,0.01 ,6.04 ,0.00023244595407045932 ,0.0002324459532267063  ,-5.625020125613981e-14  ,-9.00003220098237e-13
605  ,0.01 ,6.05 ,0.00022898528466870188 ,0.00022898528383613455 ,-5.55044888089079e-14   ,-8.880718209425264e-13
606  ,0.01 ,6.06 ,0.00022557613792198978 ,0.0002255761371004621  ,-5.476851249718491e-14  ,-8.762961999549586e-13
607  ,0.01 ,6.07 ,0.00022221774675792324 ,0.00022221774594729103 ,-5.404214763772101e-14  ,-8.646743622035361e-13
608  ,0.01 ,6.08 ,0.00021890935552432267 ,0.0002189093547244436  ,-5.332527135426997e-14  ,-8.532043416683195e-13
609  ,0.01 ,6.09 ,0.00021565021981920376 ,0.00021565021902993732 ,-5.261776257758921e-14  ,-8.418842012414274e-13
610  ,0.01 ,6.1  ,0.0002124396063232839  ,0.0002124396055444914  ,-5.191950023843613e-14  ,-8.30712003814978e-13
611  ,0.01 ,6.11 ,0.00020927679263498225 ,0.00020927679186652674 ,-5.123036688157538e-14  ,-8.19685870105206e-13
612  ,0.01 ,6.12 ,0.00020616106710787634 ,0.00020616106634962266 ,-5.05502450517716e-14   ,-8.088039208283456e-13
613  ,0.01 ,6.13 ,0.00020309172869057858 ,0.0002030917279423933  ,-4.9879019100793065e-14 ,-7.98064305612689e-13
614  ,0.01 ,6.14 ,0.00020006808676899682 ,0.0002000680860307482  ,-4.921657518741166e-14  ,-7.874652029985866e-13
615  ,0.01 ,6.15 ,0.0001970894610109432  ,0.0001970894602825012  ,-4.856279947039928e-14  ,-7.770047915263885e-13
616  ,0.01 ,6.16 ,0.00019415518121305652 ,0.00019415518049429282 ,-4.791757991553144e-14  ,-7.66681278648503e-13
617  ,0.01 ,6.17 ,0.0001912645871500038  ,0.00019126458644079164 ,-4.728080990959449e-14  ,-7.564929585535118e-13
618  ,0.01 ,6.18 ,0.00018841702842592657 ,0.00018841702772614088 ,-4.665237922536758e-14  ,-7.464380676058813e-13
619  ,0.01 ,6.19 ,0.00018561186432809927 ,0.00018561186363761655 ,-4.603218124963708e-14  ,-7.365148999941932e-13
620  ,0.01 ,6.2  ,0.00018284846368276603 ,0.0001828484630014644  ,-4.542010936918935e-14  ,-7.267217499070296e-13
621  ,0.01 ,6.21 ,0.00018012620471312402 ,0.0001801262040408831  ,-4.481606058481802e-14  ,-7.170569693570883e-13
622  ,0.01 ,6.22 ,0.00017744447489942094 ,0.00017744447423612202 ,-4.421992828330945e-14  ,-7.075188525329512e-13
623  ,0.01 ,6.23 ,0.00017480267084113562 ,0.0001748026701866614  ,-4.363161488646812e-14  ,-6.9810583818349e-13
624  ,0.01 ,6.24 ,0.00017220019812121026 ,0.000172200197475445   ,-4.305101739508765e-14  ,-6.888162783214024e-13
625  ,0.01 ,6.25 ,0.00016963647117230408 ,0.00016963647053513356 ,-4.2478034616965274e-14 ,-6.796485538714444e-13
626  ,0.01 ,6.26 ,0.0001671109131450383  ,0.00016711091251634972 ,-4.19125725879127e-14   ,-6.706011614066032e-13
627  ,0.01 ,6.27 ,0.0001646229557782025  ,0.00016462295515788452 ,-4.135453192273079e-14  ,-6.616725107636926e-13
628  ,0.01 ,6.28 ,0.00016217203927089343 ,0.00016217203865883617 ,-4.080381685022764e-14  ,-6.528610696036422e-13
629  ,0.01 ,6.29 ,0.00015975761215655755 ,0.00015975761155265255 ,-4.026033340621497e-14  ,-6.441653344994395e-13
630  ,0.01 ,6.3  ,0.00015737913117890866 ,0.00015737913058304885 ,-3.972398762650449e-14  ,-6.355838020240719e-13
631  ,0.01 ,6.31 ,0.00015503606116969298 ,0.00015503606058177264 ,-3.9194689160915176e-14 ,-6.271150265746428e-13
632  ,0.01 ,6.32 ,0.00015272787492827397 ,0.00015272787434818876 ,-3.867234765926597e-14  ,-6.187575625482556e-13
633  ,0.01 ,6.33 ,0.00015045405310301    ,0.00015045405253065697 ,-3.81568691573686e-14   ,-6.105099065178976e-13
634  ,0.01 ,6.34 ,0.00014821408407439808 ,0.00014821408350967555 ,-3.7648168726052883e-14 ,-6.023706996168461e-13
635  ,0.01 ,6.35 ,0.00014600746383995727 ,0.0001460074632827649  ,-3.71461578221414e-14   ,-5.943385251542624e-13
636  ,0.01 ,6.36 ,0.00014383369590082598 ,0.00014383369535106474 ,-3.665074970946036e-14  ,-5.864119953513658e-13
