n    ,h    ,x_1  ,v_1                    ,v_2                    ,S                       ,olp
119  ,0.01 ,1.19 ,0.33559412225626906    ,0.3355941220162657     ,-1.6000223368450862e-11 ,-2.560035738952138e-10
120  ,0.01 ,1.2  ,0.33059777669737894    ,0.33059777645896193    ,-1.5894467223868484e-11 ,-2.5431147558189574e-10
121  ,0.01 ,1.21 ,0.325675817032902      ,0.3256758167960773     ,-1.5788311398997243e-11 ,-2.526129823839559e-10
122  ,0.01 ,1.22 ,0.32082713580115       ,0.32082713556592307    ,-1.5681796602014706e-11 ,-2.509087456322353e-10
123  ,0.01 ,1.23 ,0.3160506420283912     ,0.316050641794767      ,-1.5574948738124778e-11 ,-2.4919917980999645e-10
124  ,0.01 ,1.24 ,0.3113452609833767     ,0.3113452607513596     ,-1.5467808515505036e-11 ,-2.474849362480806e-10
125  ,0.01 ,1.25 ,0.3067099339355213     ,0.30670993370511523    ,-1.53604055401028e-11   ,-2.457664886416448e-10
126  ,0.01 ,1.26 ,0.30214361791668465    ,0.3021436176878931     ,-1.525276941786539e-11  ,-2.4404431068584624e-10
127  ,0.01 ,1.27 ,0.2976452854864991     ,0.29764528525932504    ,-1.5144937156226965e-11 ,-2.4231899449963143e-10
128  ,0.01 ,1.28 ,0.29321392450119127    ,0.29321392427563725    ,-1.5036934660391427e-11 ,-2.4059095456626284e-10
129  ,0.01 ,1.29 ,0.28884853788584536    ,0.28884853766191354    ,-1.4928787835562694e-11 ,-2.388606053690031e-10
130  ,0.01 ,1.3  ,0.2845481434100572     ,0.2845481431877492     ,-1.482053368917491e-11  ,-2.3712853902679853e-10
131  ,0.01 ,1.31 ,0.28031177346692804    ,0.2803117732462451     ,-1.471219442568857e-11  ,-2.353951108110171e-10
132  ,0.01 ,1.32 ,0.2761384748553492     ,0.2761384746362923     ,-1.460379224956417e-11  ,-2.336606759930267e-10
133  ,0.01 ,1.33 ,0.2720273085655277     ,0.27202730834809735    ,-1.449535676674903e-11  ,-2.319257082679845e-10
134  ,0.01 ,1.34 ,0.26797734956770497    ,0.2679773493519012     ,-1.4386917583190476e-11 ,-2.3019068133104761e-10
135  ,0.01 ,1.35 ,0.26398768660402133    ,0.263987686389844      ,-1.4278489501862168e-11 ,-2.2845583202979469e-10
136  ,0.01 ,1.36 ,0.26005742198347925    ,0.2600574217709277     ,-1.417010212871143e-11  ,-2.2672163405938288e-10
137  ,0.01 ,1.37 ,0.25618567137995896    ,0.2561856711690323     ,-1.4061777668198754e-11 ,-2.2498844269118006e-10
138  ,0.01 ,1.38 ,0.2523715636332413     ,0.25237156342393824    ,-1.3953538324784632e-11 ,-2.232566131965541e-10
139  ,0.01 ,1.39 ,0.24861424055299317    ,0.24861424034531207    ,-1.3845406302929556e-11 ,-2.215265008468729e-10
140  ,0.01 ,1.4  ,0.24491285672567084    ,0.24491285651960984    ,-1.3737400106350606e-11 ,-2.197984017016097e-10
141  ,0.01 ,1.41 ,0.24126657932429857    ,0.24126657911985544    ,-1.3629541939508272e-11 ,-2.1807267103213235e-10
142  ,0.01 ,1.42 ,0.2376745879210789     ,0.23767458771825117    ,-1.3521848455747924e-11 ,-2.163495752919668e-10
143  ,0.01 ,1.43 ,0.23413607430279296    ,0.23413607410157783    ,-1.3414341859530054e-11 ,-2.1462946975248086e-10
144  ,0.01 ,1.44 ,0.23065024228894912    ,0.23065024208934354    ,-1.3307038804200033e-11 ,-2.1291262086720052e-10
145  ,0.01 ,1.45 ,0.22721630755263897    ,0.2272163073546396     ,-1.3199957793474936e-11 ,-2.1119932469559898e-10
146  ,0.01 ,1.46 ,0.22383349744406045    ,0.22383349724766372    ,-1.3093115480700135e-11 ,-2.0948984769120216e-10
147  ,0.01 ,1.47 ,0.22050105081666846    ,0.22050105062187053    ,-1.2986528519220997e-11 ,-2.0778445630753595e-10
148  ,0.01 ,1.48 ,0.21721821785591364    ,0.21721821766271043    ,-1.2880213562382891e-11 ,-2.0608341699812626e-10
149  ,0.01 ,1.49 ,0.21398425991053086    ,0.2139842597189181     ,-1.2774183562787774e-11 ,-2.0438693700460439e-10
150  ,0.01 ,1.5  ,0.21079844932633968    ,0.21079844913631282    ,-1.266845702415272e-11  ,-2.0269531238644352e-10
151  ,0.01 ,1.51 ,0.20766006928251904    ,0.2076600690940733     ,-1.2563048749451392e-11 ,-2.0100877999122228e-10
152  ,0.01 ,1.52 ,0.20456841363031952    ,0.20456841344344998    ,-1.2457969840914037e-11 ,-1.993275174546246e-10
153  ,0.01 ,1.53 ,0.20152278673417698    ,0.20152278654887845    ,-1.2353235101514315e-11 ,-1.9765176162422904e-10
154  ,0.01 ,1.54 ,0.1985225033151915     ,0.19852250313145867    ,-1.2248855633482473e-11 ,-1.9598169013571957e-10
155  ,0.01 ,1.55 ,0.19556688829693689    ,0.19556688811476416    ,-1.214484809016388e-11  ,-1.943175694426221e-10
156  ,0.01 ,1.56 ,0.19265527665356547    ,0.19265527647294714    ,-1.2041221723417076e-11 ,-1.9265954757467322e-10
157  ,0.01 ,1.57 ,0.1897870132601746     ,0.18978701308110477    ,-1.1937989485844015e-11 ,-1.9100783177350423e-10
158  ,0.01 ,1.58 ,0.18696145274540077    ,0.18696145256787333    ,-1.183516247967494e-11  ,-1.8936259967479904e-10
159  ,0.01 ,1.59 ,0.18417795934620826    ,0.184177959170217      ,-1.1732749956768391e-11 ,-1.8772399930829426e-10
160  ,0.01 ,1.6  ,0.18143590676483984    ,0.18143590659037837    ,-1.1630764869726325e-11 ,-1.860922379156212e-10
161  ,0.01 ,1.61 ,0.1787346780278971     ,0.17873467785495886    ,-1.1529216470407277e-11 ,-1.8446746352651643e-10
162  ,0.01 ,1.62 ,0.17607366534751887    ,0.17607366517609718    ,-1.142811216029808e-11  ,-1.828497945647693e-10
163  ,0.01 ,1.63 ,0.17345226998462632    ,0.17345226981471437    ,-1.1327463041628978e-11 ,-1.8123940866606365e-10
164  ,0.01 ,1.64 ,0.17086990211420422    ,0.17086990194579502    ,-1.122728021663022e-11  ,-1.7963648346608353e-10
165  ,0.01 ,1.65 ,0.16832598069258775    ,0.16832598052567424    ,-1.1127567386045218e-11 ,-1.780410781767235e-10
166  ,0.01 ,1.66 ,0.16581993332672532    ,0.1658199331613003     ,-1.1028333801732514e-11 ,-1.7645334082772023e-10
167  ,0.01 ,1.67 ,0.16335119614538762    ,0.16335119598144376    ,-1.0929590565922354e-11 ,-1.7487344905475766e-10
168  ,0.01 ,1.68 ,0.16091921367229425    ,0.16091921350982413    ,-1.083134137935815e-11  ,-1.733014620697304e-10
169  ,0.01 ,1.69 ,0.15852343870112925    ,0.15852343854012532    ,-1.0733595493898444e-11 ,-1.717375279023751e-10
170  ,0.01 ,1.7  ,0.1561633321724173     ,0.1561633320128719     ,-1.0636358460658358e-11 ,-1.7018173537053372e-10
171  ,0.01 ,1.71 ,0.1538383630522331     ,0.15383836289413852    ,-1.0539639531496429e-11 ,-1.6863423250394286e-10
172  ,0.01 ,1.72 ,0.15154800821271658    ,0.15154800805606491    ,-1.0443444257527782e-11 ,-1.6709510812044452e-10
173  ,0.01 ,1.73 ,0.14929175231436673    ,0.14929175215915008    ,-1.0347776339495833e-11 ,-1.6556442143193333e-10
174  ,0.01 ,1.74 ,0.1470690876900882     ,0.1470690875362986     ,-1.0252639478143995e-11 ,-1.6404223165030392e-10
175  ,0.01 ,1.75 ,0.14487951423096404    ,0.14487951407859337    ,-1.0158044775702517e-11 ,-1.6252871641124028e-10
176  ,0.01 ,1.76 ,0.14272253927372902    ,0.14272253912276914    ,-1.0063992232171396e-11 ,-1.6102387571474234e-10
177  ,0.01 ,1.77 ,0.1405976774899184     ,0.14059767734036105    ,-9.970489249037466e-12  ,-1.5952782798459945e-10
178  ,0.01 ,1.78 ,0.13850445077666687    ,0.13850445062850375    ,-9.877541377415848e-12  ,-1.5804066203865357e-10
179  ,0.01 ,1.79 ,0.1364423881491335     ,0.13644238800235628    ,-9.785148617306543e-12  ,-1.5656237787690468e-10
180  ,0.01 ,1.8  ,0.13441102563452811    ,0.1344110254891283     ,-9.693320220568088e-12  ,-1.550931235290894e-10
181  ,0.01 ,1.81 ,0.13240990616771542    ,0.13240990602368458    ,-9.602056187200484e-12  ,-1.5363289899520775e-10
182  ,0.01 ,1.82 ,0.13043857948837348    ,0.13043857934570308    ,-9.511360217947147e-12  ,-1.5218176348715435e-10
183  ,0.01 ,1.83 ,0.12849660203968324    ,0.12849660189836468    ,-9.4212378639232e-12    ,-1.507398058227712e-10
184  ,0.01 ,1.84 ,0.12658353686852633    ,0.126583536728551      ,-9.331689125128643e-12  ,-1.4930702600205829e-10
185  ,0.01 ,1.85 ,0.12469895352716881    ,0.124698953388528      ,-9.242720477864452e-12  ,-1.4788352764583123e-10
