n  ,h     ,x      ,v[1]_1                  ,v[2]_1                  ,v[1]_2                  ,v[2]_2                  ,ОЛП
53 ,2.56  ,30.68  ,0.0004889427972748508   ,-0.0009636873311339862  ,0.0005363616258492348   ,-0.0007423866934802415  ,0.0002414121831364232
54 ,2.56  ,33.24  ,-0.0006904358205510773  ,1.009115254603228e-05   ,-0.0003974486048731246  ,-5.33520546064165e-05   ,0.00031976266591634606
55 ,2.56  ,35.8   ,-0.00030995585466206    ,0.00021720281760274093  ,-0.00021738802266807415 ,0.00011944568508482376  ,0.00014360542673771468
56 ,2.56  ,38.36  ,6.31628228275489e-05    ,6.106618871420873e-05   ,7.173065717846537e-06   ,4.5650614954505366e-05  ,6.194471229444478e-05
57 ,2.56  ,40.92  ,8.732461269572698e-05   ,-3.0492359101258365e-05 ,4.183047653493139e-05   ,-8.073297118983705e-06  ,5.4099360270878246e-05
58 ,2.56  ,43.48  ,1.140987914770468e-05   ,-2.246500070030093e-05  ,1.1268078937027475e-05  ,-1.0758728506099988e-05 ,1.2487606387850563e-05
59 ,5.12  ,48.6   ,-6.367278777835283e-05  ,2.2577404762438204e-05  ,-3.968307624919213e-06  ,1.8879383568216253e-06  ,6.740015880160873e-05
60 ,5.12  ,53.72  ,3.5723253702428366e-05  ,3.141788281820367e-05   ,8.704294799621455e-07   ,-1.4727689547196082e-07 ,5.015691546391348e-05
61 ,5.12  ,58.84  ,0.0001170315830919769   ,-8.513862992683903e-05  ,-1.1693801063950916e-07 ,-4.0349133165675375e-08 ,0.00015444763669262255
62 ,5.12  ,63.96  ,-0.00020135389043643968 ,9.085604413753271e-06   ,-9.639686224367856e-10  ,2.1794338178506084e-08  ,0.00021499394652420146
63 ,5.12  ,69.08  ,-8.077792585159646e-05  ,0.0001947776747768087   ,6.1273318676399954e-09  ,-5.845084638102564e-09  ,0.00022492933025227704
64 ,5.12  ,74.2   ,0.0005618875439794587   ,-0.0002145624452418552  ,-2.156415550876651e-09  ,1.0251831437829806e-09  ,0.0006415603363751643
65 ,5.12  ,79.32  ,-0.0003628961777484875  ,-0.0002537807665187254  ,4.72794282184391e-10    ,-7.983008890175386e-11  ,0.0004723522493191667
66 ,5.12  ,84.44  ,-0.000985585456459347   ,0.0007647622807692767   ,-6.347137870056929e-11  ,-2.1962006277672966e-11 ,0.0013306596965696315
67 ,2.56  ,87.0   ,0.0002713411482153851   ,0.00018147698182080724  ,-4.611849335650371e-11  ,2.0855100145543432e-11  ,0.0003481975324604278
68 ,2.56  ,89.56  ,0.00029822011980610034  ,-0.00011713694289272006 ,-2.282802969258036e-12  ,1.0278617276720169e-11  ,0.00034176024472231683
69 ,2.56  ,92.12  ,2.659590533719597e-05   ,-7.449151546655532e-05  ,7.730346554774071e-12   ,-7.156236116495656e-13  ,8.437008027038411e-05
70 ,2.56  ,94.68  ,-5.8552668334456656e-05 ,4.331022816190326e-06   ,2.7409009663450626e-12  ,-2.0910349295946578e-12 ,6.262680665310955e-05
71 ,2.56  ,97.24  ,-2.2980006544609764e-05 ,1.7824471896528876e-05  ,-5.866964802154411e-13  ,-4.98109150817894e-13   ,3.1021345871875845e-05
72 ,5.12  ,102.36 ,4.297895465163204e-05   ,-3.4791088560627154e-06 ,-8.681897366540663e-14  ,1.8985122254023147e-13  ,4.599417625172291e-05
73 ,10.24 ,112.6  ,5.2474230695195524e-05  ,-0.0007789502226813646  ,-3.3003559129296546e-13 ,-2.556563522845274e-13  ,0.0008327634063054294
74 ,2.56  ,115.16 ,-0.0007167109380526697  ,0.00011683667790609621  ,-3.5980004548815604e-13 ,1.2717350233656728e-13  ,0.0007745831757522526
