n   ,h                      ,x              ,v[1]_1                 ,v[2]_1                ,v[1]_2                 ,v[2]_2                ,S                      ,ОЛП
24  ,0.32                   ,7.68           ,-0.4218109655797051    ,0.2712831933202289    ,-0.42211884028194996   ,0.2726381792448396    ,9.263485516743121e-05  ,0.0014821576826788993
25  ,0.32                   ,8.0            ,-0.3016594636623092    ,0.45987605182981317   ,-0.3014756523490771    ,0.46096601392686704   ,7.369016131784284e-05  ,0.0011790425810854854
26  ,0.32                   ,8.32           ,-0.14132838048979832   ,0.522195357480592     ,-0.14080745612064965   ,0.5227654250598142    ,5.14820030367966e-05   ,0.0008237120485887456
27  ,0.32                   ,8.64           ,0.020985452081050293   ,0.4775627055780617    ,0.021635635279665347   ,0.4775999719099241    ,4.3416687588057975e-05 ,0.0006946670014089276
28  ,0.32                   ,8.96           ,0.15660761971349343    ,0.3609577445885551    ,0.15721282562273825    ,0.36055628864021183   ,4.841675885453313e-05  ,0.0007746681416725301
29  ,0.32                   ,9.28           ,0.24753590139797305    ,0.20250648430538465   ,0.24796921486573653    ,0.20177273071191518   ,5.680981516426658e-05  ,0.0009089570426282652
30  ,0.32                   ,9.6            ,0.28410505744180675    ,0.024415309034602067  ,0.28427881827865825    ,0.023441152187244893  ,6.596882737496225e-05  ,0.001055501237999396
31  ,0.32                   ,9.92           ,0.26289010646506644    ,-0.15587397503463513  ,0.2627468314982149     ,-0.15700414028218862  ,7.594738538119573e-05  ,0.0012151581660991317
32  ,0.32                   ,10.24          ,0.18584825930209437    ,-0.32148446859961494  ,0.18535698450622784    ,-0.3226753182272173   ,8.588037573313135e-05  ,0.0013740860117301015
33  ,0.32                   ,10.56          ,0.06081566748669823    ,-0.4518732360646973   ,0.05997607157582942    ,-0.45299145208901015  ,9.322203770395897e-05  ,0.0014915526032633435
34  ,0.32                   ,10.88          ,-0.09668939826559184   ,-0.5191388304307193   ,-0.09783379766531046   ,-0.5199761053959661   ,9.453228380953196e-05  ,0.0015125165409525113
35  ,0.32                   ,11.2           ,-0.2609766741111069    ,-0.48853197346783256  ,-0.2623181269992317    ,-0.4887816658892522   ,9.096622465686357e-05  ,0.0014554595945098171
36  ,0.32                   ,11.52          ,-0.39580901326075013   ,-0.33321604179652553  ,-0.3971544467658218    ,-0.33255877708580983  ,9.982625387300788e-05  ,0.001597220061968126
37  ,0.0025                 ,11.5225        ,-0.39663992362267275   ,-0.3315110830957411   ,-0.39798370418990203   ,-0.33084599768560174  ,9.995743128715252e-05  ,0.0015993189005944403
38  ,0.000625               ,11.523125      ,-0.39684698453149764   ,-0.3310837525117762   ,-0.39819034880939846   ,-0.33041671208215406  ,9.999045549763409e-05  ,0.0015998472879621454
39  ,0.00015625             ,11.52328125    ,-0.396898708016563     ,-0.33097685178803615  ,-0.39824196803121353   ,-0.33030932261435     ,9.99987258736842e-05   ,0.0015999796139789472
40  ,1.953125e-05           ,11.52330078125 ,-0.39690517227768746   ,-0.3309634872835991   ,-0.39824841925406224   ,-0.3302958970172164   ,9.99997600732432e-05   ,0.0015999961611718912
41  ,2.44140625e-06         ,11.52330322266 ,-0.39690598029197455   ,-0.3309618166906412   ,-0.3982492256384809    ,-0.3302942187876763   ,9.999988935447527e-05  ,0.0015999982296716043
42  ,1.220703125e-06        ,11.52330444336 ,-0.3969063842975886    ,-0.3309609813916703   ,-0.3982496288291538    ,-0.3302933796704147   ,9.999995399561658e-05  ,0.0015999992639298653
43  ,6.103515625e-07        ,11.52330505371 ,-0.3969065863000133    ,-0.3309605637415619   ,-0.39824983042410617   ,-0.33029296011116105  ,9.99999863163196e-05   ,0.0015999997810611135
44  ,1.52587890625e-07      ,11.5233052063  ,-0.39690663680057964   ,-0.3309604593289699   ,-0.39824988082280427   ,-0.33029285522128277  ,9.999999439650943e-05  ,0.001599999910344151
45  ,7.62939453125e-08      ,11.52330528259 ,-0.39690666205085684   ,-0.33096040712266417  ,-0.3982499060221473    ,-0.3302928027763339   ,9.999999843660722e-05  ,0.0015999999749857156
46  ,1.9073486328125e-08    ,11.52330530167 ,-0.39690666836342553   ,-0.33096039407108674  ,-0.3982499123219825    ,-0.3302927896650957   ,9.999999944663165e-05  ,0.0015999999911461063
47  ,9.5367431640625e-09    ,11.5233053112  ,-0.39690667151970976   ,-0.3309603875452979   ,-0.3982499154718999    ,-0.3302927831094764   ,9.999999995164308e-05  ,0.0015999999992262893
48  ,5.960464477539063e-10  ,11.5233053118  ,-0.3969066717169775    ,-0.3309603871374361   ,-0.39824991566876977   ,-0.33029278269975015  ,9.99999999832091e-05   ,0.0015999999997313456
49  ,2.9802322387695313e-10 ,11.5233053121  ,-0.3969066718156114    ,-0.33096038693350516  ,-0.3982499157672047    ,-0.330292782494887    ,9.999999999899128e-05  ,0.0015999999999838604
50  ,1.862645149230957e-11  ,11.52330531212 ,-0.396906671821776     ,-0.33096038692075946  ,-0.3982499157733569    ,-0.33029278248208305  ,9.999999999997837e-05  ,0.001599999999999654
51  ,2.9103830456733704e-13 ,11.52330531212 ,-0.39690667182187234   ,-0.3309603869205603   ,-0.39824991577345303   ,-0.330292782481883    ,9.999999999999479e-05  ,0.0015999999999999166
52  ,7.275957614183426e-14  ,11.52330531212 ,-0.39690667182189643   ,-0.3309603869205105   ,-0.398249915773477     ,-0.330292782481833    ,9.99999999999931e-05   ,0.0015999999999998897
53  ,7.275957614183426e-14  ,11.52330531212 ,-0.3969066718219205    ,-0.3309603869204607   ,-0.398249915773501     ,-0.33029278248178306  ,9.999999999999143e-05  ,0.0015999999999998628
54  ,7.275957614183426e-14  ,11.52330531212 ,-0.3969066718219446    ,-0.3309603869204109   ,-0.398249915773525     ,-0.3302927824817331   ,9.999999999998973e-05  ,0.0015999999999998357
55  ,7.275957614183426e-14  ,11.52330531212 ,-0.3969066718219687    ,-0.3309603869203611   ,-0.39824991577354896   ,-0.33029278248168314  ,9.999999999998805e-05  ,0.0015999999999998088
