n  ,h          ,x            ,v[1]_1                  ,v[2]_1                  ,v[1]_2                  ,v[2]_2                  ,ОЛП
32 ,0.64       ,16.3         ,-0.6807714206756784     ,-1.2095734234297346     ,-0.6807910791624002     ,-1.2094897814935708     ,9.164913708435976e-05
33 ,0.64       ,16.94        ,-1.3193302475668234     ,-0.7785424917717565     ,-1.3193015525681373     ,-0.7784761248000888     ,7.712507408251218e-05
34 ,0.64       ,17.58        ,-1.6749195009775832     ,-0.33565283896590536    ,-1.6748552249665618     ,-0.33560849616676036    ,8.329355033810647e-05
35 ,0.64       ,18.22        ,-1.7586561224694008     ,0.06298891152368286     ,-1.758570909921274      ,0.06301006973820764     ,9.36533843591859e-05
36 ,0.64       ,18.86        ,-1.6125637787223532     ,0.377427691652096       ,-1.612472006739843      ,0.37742754558348446     ,9.789023867196938e-05
37 ,0.64       ,19.5         ,-1.298530528303346      ,0.5856147691575408      ,-1.298444610541649      ,0.5855974274081395      ,9.349379302305396e-05
38 ,0.64       ,20.14        ,-0.886972487786399      ,0.682649210479451       ,-0.8869017426990653     ,0.6826200827080333      ,8.160728124112916e-05
39 ,0.64       ,20.78        ,-0.4466377872540942     ,0.6780808273054784      ,-0.4465878998540786     ,0.6780457168998445      ,6.507097921525929e-05
40 ,0.64       ,21.42        ,-0.0365711002232742     ,0.591974644863974       ,-0.0365441288107827     ,0.5919389679841269      ,4.7706323500566315e-05
41 ,1.28       ,22.7         ,0.5340522880594909      ,0.28234774265521095     ,0.5341302088781843      ,0.2813576314637986      ,0.0010593841130865323
42 ,1.28       ,23.98        ,0.6816085064024175      ,-0.03996695728473665    ,0.6807282418230288      ,-0.04044450506167377    ,0.0010682215914518897
43 ,1.28       ,25.26        ,0.4896345933604941      ,-0.23411745886377616    ,0.48849956277395984     ,-0.23405714489565743    ,0.0012124074214779582
44 ,1.28       ,26.54        ,0.1565984565013563      ,-0.2621311936599501     ,0.15577717761862703     ,-0.2617441898705719     ,0.0009684199265235707
45 ,1.28       ,27.82        ,-0.12780198257296865    ,-0.16948606381899847    ,-0.12807005380747766    ,-0.16904898515233316    ,0.0005469202119018748
46 ,1.28       ,29.1         ,-0.25993299766167066    ,-0.03705285141455117    ,-0.259725286198106      ,-0.03676804622991679    ,0.0003760027162694209
47 ,1.28       ,30.38        ,-0.23640154588418796    ,0.06536198293312913     ,-0.23597020846501618    ,0.06542647839621935     ,0.000465208093403712
48 ,1.28       ,31.66        ,-0.12089552518640716    ,0.10475476468030664     ,-0.12050037751424258    ,0.10464767829456303     ,0.00043669439743066537
49 ,1.28       ,32.94        ,0.005934537599146819    ,0.08619699881875834     ,0.0061386741987260116   ,0.0860228912399865      ,0.0002861872834353875
50 ,1.28       ,34.22        ,0.08647853322452133     ,0.037546999808073335    ,0.08647114847144244     ,0.037402722122479776    ,0.00015409765728116343
51 ,1.28       ,35.5         ,0.10260776051162931     ,-0.010210237588949421   ,0.10246498431057428     ,-0.010273891277764513   ,0.00016674438102801616
52 ,1.28       ,36.78        ,0.0697245448063818      ,-0.03716168463647454    ,0.06955355891462982     ,-0.03714558841048464    ,0.00018319130861661347
